date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:19	22323/22323	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:34%20GMT	http://tavern-html.axiomthemes.com/index3.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/index3.html	(from http://tavern-html.axiomthemes.com/)
09:40:20	15791/15791	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:34%20GMT	http://tavern-html.axiomthemes.com/our-brewery.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/our-brewery.html	(from http://tavern-html.axiomthemes.com/)
09:40:22	15695/15695	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:28%20GMT	http://tavern-html.axiomthemes.com/events-list.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/events-list.html	(from http://tavern-html.axiomthemes.com/)
09:40:23	18878/18878	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:28%20GMT	http://tavern-html.axiomthemes.com/events-single.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/events-single.html	(from http://tavern-html.axiomthemes.com/)
09:40:25	12958/12958	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:35%20GMT	http://tavern-html.axiomthemes.com/reservation.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/reservation.html	(from http://tavern-html.axiomthemes.com/)
09:40:26	12303/12303	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:31%20GMT	http://tavern-html.axiomthemes.com/features-staff.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/features-staff.html	(from http://tavern-html.axiomthemes.com/)
09:40:26	348373/348373	---M--	200	added ('OK')	image/png	etag:%22565878ae-550d5%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-3-right.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-3-right.png	(from http://tavern-html.axiomthemes.com/)
09:40:27	18315/18315	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202016%2009:30:56%20GMT	http://tavern-html.axiomthemes.com/features-staff-member-profile.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/features-staff-member-profile.html	(from http://tavern-html.axiomthemes.com/)
09:40:27	19657/19657	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:29%20GMT	http://tavern-html.axiomthemes.com/features-beer-shop.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/features-beer-shop.html	(from http://tavern-html.axiomthemes.com/)
09:40:28	7911/7911	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:28%20GMT	http://tavern-html.axiomthemes.com/features-404.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/features-404.html	(from http://tavern-html.axiomthemes.com/)
09:40:30	29756/29756	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:31%20GMT	http://tavern-html.axiomthemes.com/features-typography.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/features-typography.html	(from http://tavern-html.axiomthemes.com/)
09:40:31	50935/50935	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:30%20GMT	http://tavern-html.axiomthemes.com/features-shortcodes.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/features-shortcodes.html	(from http://tavern-html.axiomthemes.com/)
09:40:31	36723/36723	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:32%20GMT	http://tavern-html.axiomthemes.com/gallery-cobbles.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/gallery-cobbles.html	(from http://tavern-html.axiomthemes.com/)
09:40:32	13732/13732	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:32%20GMT	http://tavern-html.axiomthemes.com/gallery-grid.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/gallery-grid.html	(from http://tavern-html.axiomthemes.com/)
09:40:32	13728/13728	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:32%20GMT	http://tavern-html.axiomthemes.com/gallery-margin-grid.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/gallery-margin-grid.html	(from http://tavern-html.axiomthemes.com/)
09:40:33	35096/35096	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:33%20GMT	http://tavern-html.axiomthemes.com/gallery-masonry.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/gallery-masonry.html	(from http://tavern-html.axiomthemes.com/)
09:40:34	20291/20291	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:25%20GMT	http://tavern-html.axiomthemes.com/blog-streampage.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/blog-streampage.html	(from http://tavern-html.axiomthemes.com/)
09:40:34	29719/29719	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:25%20GMT	http://tavern-html.axiomthemes.com/blog-with-sidebar.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/blog-with-sidebar.html	(from http://tavern-html.axiomthemes.com/)
09:40:34	605531/605531	---M--	200	added ('OK')	image/png	etag:%22565878a1-93d5b%22	http://tavern-html.axiomthemes.com/images/slider-1-slide-3-left.png	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/images/slider-1-slide-3-left.png	(from http://tavern-html.axiomthemes.com/)
09:40:36	26238/26238	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:26%20GMT	http://tavern-html.axiomthemes.com/blog-without-sidebar.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/blog-without-sidebar.html	(from http://tavern-html.axiomthemes.com/)
09:40:36	12126/12126	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:26%20GMT	http://tavern-html.axiomthemes.com/contact-us.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/contact-us.html	(from http://tavern-html.axiomthemes.com/)
09:40:36	23111/23111	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202015%2011:54:26%20GMT	http://tavern-html.axiomthemes.com/book.html	/home/acensjr/websites/ok/tavern-html.axiomthemes.com/book.html	(from http://tavern-html.axiomthemes.com/)
